Coef_mean,SE_bootstrap,IC_2.5%,IC_97.5%
5.246684327312903,0.30251025423711164,4.648705963511338,5.799788471900606
0.10170257223060054,0.004465951843622887,0.09327859934197157,0.1111467764504947
0.0002400646148642856,1.0339884393156341e-05,0.0002197230671325646,0.00026051657580483163
0.04904335535795171,0.006849592763130377,0.035083617828961945,0.06255838201240324
0.00015369631636700257,1.4583952513908118e-05,0.00012602220049569144,0.00018222243918417005
2.6737686913674625e-06,1.5331485938290308e-05,-2.6106849908813192e-05,3.257944702369153e-05
-0.013666083480610823,0.00865368745724535,-0.031200520654035942,0.0033562881708506737
0.0027616456587006466,0.00015753011184637756,0.002468434567999394,0.003067897620260089
0.04628927449453877,0.005697099939969206,0.03547073456454549,0.0567176411237191
9.835399239098747e-06,1.0262742518869743e-06,7.831520998422052e-06,1.1757451476636588e-05
